uName,uGender,uBreed,uDescription,uPrice,uThumbnail,uIsAvailable
Buckling,Billy,Boer,,400,placeholder.png,TRUE
Chunk,Billy,Boer,,0,placeholder.png,FALSE
Little Bill,Billy,Boer,,400,placeholder.png,TRUE
118's Boy,Billy,Boer|Fainting,,150,placeholder.png,TRUE
Ricky,Billy,Boer|Fainting,,150,placeholder.png,TRUE
WarFace,Billy,Boer|Fainting,,150,placeholder.png,TRUE
Boo,Billy,Fainting,,0,placeholder.png,FALSE
Moe,Billy,Fainting,,150,placeholder.png,TRUE
43,Doe,Boer,,0,placeholder.png,FALSE
73,Doe,Boer,,0,placeholder.png,FALSE
118,Doe,Boer,,200,placeholder.png,TRUE
483,Doe,Boer,,0,placeholder.png,FALSE
486,Doe,Boer,,0,placeholder.png,FALSE
488,Doe,Boer,,0,placeholder.png,FALSE
489,Doe,Boer,,0,placeholder.png,FALSE
Black Boer,Doe,Boer,,0,placeholder.png,FALSE
Black Foot,Doe,Boer,,0,placeholder.png,FALSE
Chocolate,Doe,Boer,,0,placeholder.png,FALSE
Little Girl,Doe,Boer,,0,placeholder.png,FALSE
Little Shit,Doe,Boer,,0,placeholder.png,FALSE
Mouse,Doe,Boer,,0,placeholder.png,FALSE
Noe,Doe,Boer,,150,placeholder.png,TRUE
Red Boer,Doe,Boer,,0,placeholder.png,FALSE
Red Headed Girl,Doe,Boer,,0,placeholder.png,FALSE
KaiKai,Doe,Boer|Fainting,,0,placeholder.png,FALSE
Lucy,Doe,Boer|Fainting,,150,placeholder.png,TRUE
Tiny Girl,Doe,Boer|Fainting,,0,placeholder.png,FALSE
Oreo,Doe,Dairy,,0,placeholder.png,FALSE
Black Fainting,Doe,Fainting,,150,placeholder.png,TRUE
Boo's Girl,Doe,Fainting,,150,placeholder.png,TRUE
Stucky,Doe,Fainting,,150,placeholder.png,TRUE
Show Goat,Doe,Spotted Boer,,0,placeholder.png,FALSE
Lover Boy 1,Wether,Boer|Fainting,,150,placeholder.png,TRUE
Lover Boy 2,Wether,Boer|Fainting,,150,placeholder.png,TRUE
